id,created_at,title,category,link,rating,thumbnail
2,2024-09-13 06:04:10.230412+00,Avocado Seed,Plants,https://www.facebook.com/OfficialCreativeExplained/videos/3310820115886245,3,
3,2024-09-13 06:43:45.829077+00,Bone fertiliser,Plants,https://www.facebook.com/61555224193537/videos/1546297309289532,3,
4,2024-09-14 01:37:37.63295+00,Slow plant water dripper,Plants,https://www.facebook.com/reel/366024426068235,2,
5,2024-09-14 01:38:17.34012+00,Grape Toner,Skincare,https://www.facebook.com/reel/474719215272933,3,
6,2024-09-14 01:39:05.363959+00,Rice Microfoliant,Skincare,https://www.youtube.com/watch?v=9fmzJ2CAB-0,5,
7,2024-09-14 01:40:30.599258+00,Onion Honey Homemade cure for sore throat,Health,https://www.facebook.com/reel/2716915341979816,2,
8,2024-09-14 01:41:29.445424+00,Packaging boxes cosmetics stand,Reuse,https://www.youtube.com/shorts/MGB_CL5q894,3,
9,2024-09-14 01:42:06.994333+00,Keep vegetables and fruits fresh for longer,Kitchen,https://www.facebook.com/reel/943552177466624,3,
10,2024-09-14 01:42:41.866499+00,Homemade ketchup,Kitchen,https://www.facebook.com/reel/504740342151104,2,
11,2024-09-16 23:40:01.985369+00,Grow pineapple from pineapple,Plants,https://www.instagram.com/reel/C9NRiRBooAt/?igsh=MXE1OXVjdHowYmx3Zw==,3,https://www.dole.com/-/media/project/dole/produce-images/fruit/pineapple_cut_web.png
12,2024-09-21 04:49:36.143441+00,Remote work,Remote Jobs,https://www.instagram.com/reel/C8H_cChPlXC/?igsh=MXdlcWV1ejZtZ2Q3ZQ==,3,https://az505806.vo.msecnd.net/cms/233656bf-3796-4d27-ae40-ee72fe17ef8b/ed0c003a-c00f-4bb0-87d0-d066ca0729b7-lg.jpg
13,2024-09-21 18:07:38.194869+00,Pistachio Gelato,Sweet,https://www.facebook.com/reel/2530394147147213,4,
14,2024-09-21 19:23:41.994215+00,Painting windows,Home Renovation,https://www.facebook.com/reel/944457237441732,3,
15,2024-09-21 19:27:14.876124+00,Things to do in Montreal,Canada,https://www.facebook.com/reel/804367731686312,3,
16,2024-09-22 06:54:06.786077+00,Whipped honey coffee,Sweet,https://www.tiktok.com/@aliciaaucoin/video/7415282478878903594,4,https://lactantia.ca/wp-content/uploads/2021/06/Iced-honey-whipped-coffee-056-335x335-1.png
17,2024-09-22 06:58:02.156519+00,Honey Whipped Coffee,Sweet,https://www.instagram.com/reel/C-F_to9x23F/?utm_source=ig_web_copy_link,4,https://lactantia.ca/wp-content/uploads/2021/06/Iced-honey-whipped-coffee-056-335x335-1.png
18,2024-09-22 23:01:16.504752+00,Hip joint stretching,Exercise,https://www.instagram.com/reel/DAA-DufCemq/?igsh=djk4dDBkOHJ5Mjcx,3,
19,2024-09-26 00:44:08.7924+00,Approach right audiences’ emails,Business,https://www.instagram.com/reel/C_Ci6e6x8aU/?igsh=Z3R2aDlvdjhyMm8y,2,
20,2024-09-26 00:44:09.048241+00,Approach right audiences’ emails,Business,https://www.instagram.com/reel/C_Ci6e6x8aU/?igsh=Z3R2aDlvdjhyMm8y,2,
21,2024-09-26 00:50:02.887713+00,Banana teeth cleaner,Health,https://www.instagram.com/reel/DAOULCLON_x/?igsh=Mjd2MzFja2w3NHU2,3,
22,2024-10-06 23:43:48.385856+00,Keep vegetables fresh,Kitchen,https://www.facebook.com/reel/2618681904984065,3,
23,2024-10-07 17:17:18.085057+00,Paper bags,Reuse,https://www.youtube.com/watch?v=7oyAFZWiJ1M,4,
24,2024-10-09 01:10:35.576112+00,Hair health,Hair,https://www.youtube.com/watch?v=wrhGIgye_Z4,4,
25,2024-10-31 20:19:49.061393+00,Google SEO,Business,https://www.instagram.com/reel/DBFClcKCHpP/?igsh=MXhhM3N0dW13cHJpbA==,3,
26,2024-11-02 22:46:02.969591+00,"Practical Household ",Household Hacks,https://www.facebook.com/reel/930463589128163,4,
27,2024-11-09 07:03:01.918096+00,Paper Bags,Reuse,https://www.youtube.com/watch?v=2NU06hKLwek,3,
